Well	Strain	MitoLog_flg	TransformantNum
A01	18	1	1
A02	18	1	2
A03	18	1	3
A04	18	1	4
A05	18	1	5
A06	18	0	1
A07	187	1	1
A08	187	1	2
A09	187	1	3
A10	187	1	4
A11	187	1	5
A12	187	0	1
B01	49	1	1
B02	49	1	2
B03	49	1	3
B04	49	1	4
B05	49	1	5
B06	49	0	1
B07	188	1	1
B08	188	1	2
B09	188	1	3
B10	188	1	4
B11	188	1	5
B12	188	0	1
C01	50	1	1
C02	50	1	2
C03	50	1	3
C04	50	1	4
C05	50	1	5
C06	50	0	1
C07	189	1	1
C08	189	1	2
C09	189	1	3
C10	189	1	4
C11	189	1	5
C12	189	0	1
D01	182	1	1
D02	182	1	2
D03	182	1	3
D04	182	1	4
D05	182	1	5
D06	182	0	1
D07	190	1	1
D08	190	1	2
D09	190	1	3
D10	190	1	4
D11	190	1	5
D12	190	0	1
E01	183	1	1
E02	183	1	2
E03	183	1	3
E04	183	1	4
E05	183	1	5
E06	183	0	1
E07	191	1	1
E08	191	1	2
E09	191	1	3
E10	191	1	4
E11	191	1	5
E12	191	0	1
F01	184	1	1
F02	184	1	2
F03	184	1	3
F04	184	1	4
F05	184	1	5
F06	184	0	1
F07	192	1	1
F08	192	1	2
F09	192	1	3
F10	192	1	4
F11	192	1	5
F12	192	0	1
G01	185	1	1
G02	185	1	2
G03	185	1	3
G04	185	1	4
G05	185	1	5
G06	185	0	1
G07	193	1	1
G08	193	1	2
G09	193	1	3
G10	193	1	4
G11	193	1	5
G12	193	0	1
H01	186	1	1
H02	186	1	2
H03	186	1	3
H04	186	1	4
H05	186	1	5
H06	186	0	1
